channel_id,channel_title,start_date,video_count,view_count,subscriber_count
UC8C8WuWSsFjWFaTHcUQeQxA,VICE Sports,2005-12-27T23:53:33Z,553,276632815,1090000
UCmqfX0S3x0I3uwLkPdpX03w,Star Sports,2006-12-11T15:14:17Z,18330,2701624691,7210000
UCMGMiLSz3jiQiw-hRpRsSbA,Sports Dissected by COISKI,2016-05-12T22:45:26Z,406,76611108,345000
UC9pkqFpbiwpZ6vXwaaUV_FQ,Chat Sports,2014-12-16T21:02:46Z,8772,113424546,364000
UCBzDz6beXDfMtfxQdEutD_w,ITV Sport,2016-06-02T12:15:40Z,1069,155741890,293000
UC8sYt4QHV6ZgOyL57ATacwQ,WoodwardSports,2020-08-06T15:00:38.762193Z,7571,33560724,62500
UCZqQ3O9jIPw3b7WYw_vyn4g,Chatterbox Sports | Cincinnati Sports Talk & more,2019-07-14T14:27:04Z,1437,1898880,11700
UCPGJ6U6tzIKHubr5zFWFZLw,BYU Sports Nation,2009-03-05T16:37:44Z,10894,18285762,24100
UC3eNlJKuJzJfNQzLphGZW7w,Stanford Athletics,2007-12-19T16:37:50Z,2420,8876448,43700
UCGW17XIEU0AM-F8mwzhBYdw,vIQtory Sports,2016-12-05T14:53:27Z,127,3287649,24200
UCZjpA3YBPXvJv3pg4SPEjfw,Win Sports,2012-11-06T16:52:52Z,22781,573717519,1360000
UCZ7wY7MRDSygp63HIEfdQZA,Sky Sports Football,2022-08-01T09:58:32.940934Z,1948,391177035,409000
UCNxbq2vWbmXQeyZPGYTnT6Q,Channel 4 Sport,2012-03-07T17:28:06Z,1513,67748322,128000
UCPZOI6QrL73FQXoZEqgvOFA,TNT Sports México,2021-04-22T21:33:26.226453Z,4352,266044067,523000
UCHAnaPgALxTRs9RF8lxZI0w,Sports Spectrum,2010-07-14T15:34:06Z,1499,2194603,13200
UCyUaqZO8qOOdelVDPjJECLA,Hurrdat Sports,2022-05-25T16:22:32.235017Z,2243,3857105,7660
UCjWgUFeyDbeQ3Q_eVCup_7Q,National Academy of Sports Medicine (NASM),2008-01-24T00:08:52Z,1809,19705071,79400
UCTIwFB4ciFi5ZCIu-VlwaOg,Little Sports,2019-10-03T14:47:23Z,1020,174427522,955000
UCtz2up17s45WU2uVrI0VHlw,Locked On Sports Minnesota,2022-03-16T13:28:29.819596Z,1878,2070382,6930
UCxc3marqP9BJSkQ0_K4mqDg,SBT Sports,2014-02-14T14:36:48Z,3166,237781692,1070000
UC9dPWTGc09DgEPInEKE_WKg,Sports Explained,2021-09-21T00:31:23.916642Z,17,3190296,24100
UCJka5SDh36_N4pjJd69efkg,Savage Brick Sports,2017-01-21T18:01:03Z,675,656967664,552000
UCkd4takjjF1EGD1TKIK2QiA,Sky Sports Cricket,2020-02-27T12:35:44.811863Z,2042,215242803,549000
UCiPywDqO1dB34oxfEjjbQnw,Fubo Sports,2019-07-01T20:28:00Z,1647,91901500,229000
UCf8YPuOWXlpTS7RibaJlP4g,CBS Sports Golazo - Europe,2021-07-30T16:24:18.908629Z,911,41004162,92300
UCNU0Vv6U1xZS82cIQrgDeqw,Rabbitholebd Sports,2015-11-03T14:23:50Z,3090,1486347417,9200000
UCalwFtq-BVcszKLZ5k2vbLw,TVP Sport ,2011-03-21T13:03:37Z,6281,542711921,629000
UCr6Bv4M4Jsec9Xrc9lBOT7A,Sports,2015-06-10T19:55:53Z,62,13875782,45500
UCY_wPnc5xrvPekvHpLAvZvQ,Sports Gaming Universe,2011-04-26T06:33:48Z,18639,148163210,262000
UC8BwRPVvR0GPBa6h-F1H4XA,JioCinema Sports,2022-08-18T13:36:08.899123Z,3762,380659694,651000
UCYtNSrfGdXooZYu_hkq18_w,beIN SPORTS Asia,2017-01-03T04:14:16Z,30301,479576031,986000
UCEX1TT5u8pUdfOau_wDgaKg,Religion of Sports,2017-05-01T01:37:40Z,123,6144823,13600
UCJVU1UGN-YtwnAartLDdpIw,Nonstop,2020-01-08T07:33:23.448506Z,530,464864555,884000
UCdpbDsDj7ZVbkFqV2i7i84g,Midco Sports,2010-06-09T18:37:01Z,6317,6773764,10800
UCfzG_f8wyZbXdwxTCtikiIw,Marmita-sports,2019-01-04T07:54:35Z,3385,87249754,100000
UCs30f29MkDPs7rnY12r2GSA,Genius Sports,2020-04-28T11:40:01.886614Z,77,74156,964
UCcavZ-6Dj9XFqbgcPG72BZg,Rakuten Sports,2018-01-10T05:08:16Z,371,35265565,47800
UC7ABMCCA3gzt6VgnnQg9Kig,River Falls SPORTS,2014-06-26T20:12:46Z,1052,1137652,5160
UChr7ZXDFiPOEl543HM4Aj8g,MAGENTA SPORT,2017-11-14T15:10:27Z,10114,182902894,243000
UCJW9EhwdL5WU-2slOTvaBNg,Seahawks Today by Chat Sports,2020-05-29T12:19:28.880811Z,1515,14253949,50500
UCQt2RdjoCYq3hvDmWX94VNQ,J SPORTS,2011-03-09T05:36:27Z,1654,26526162,284000
UC4BgbEpgz53eYYOoQ4cJFsw,Bomber Sports,2013-08-16T19:21:40Z,1080,878039,4740
UCLo2AKP2axbd8Ij8dJCY2WQ,JD Sports,2010-04-13T14:17:47Z,470,150330551,294000
UCmhmKcSIi9DmpGV4qSt0Rlw,Digital 2 Sports,2021-06-03T17:39:04.737384Z,2200,270791931,911000
UCmzr4VZ0HQ7Pi_SK4bPtRUw,Play Sports,2011-07-01T16:33:12Z,949,16130582,74300
UCNyKhK1GI6CUbJ-BDtJ44DA,Sports United,2017-05-25T20:16:10Z,4919,362602208,1360000
UCNyKhK1GI6CUbJ-BDtJ44DA,Sports United,2017-05-25T20:16:10Z,4919,362602208,1360000
UCaoTOpfjVfdm_XlYvwbVicQ,FOX SPORTS AUSTRALIA,2012-08-14T07:18:08Z,3587,89251920,156000
UCxlgPWNLi8UInV0HHhfSQCg,Kentucky Sports Radio,2018-09-06T03:44:42Z,3926,13180389,28700
UC1HgRSC0w_DnIZW6rN19low,Five Reasons Sports Network,2018-03-28T01:17:15Z,8490,12208277,25900
UCU9qXmIDsn7qY4dlksXlPxw,Ball State Sports Link,2009-08-27T21:45:54Z,1957,1495028,1610
UC0YatYmg5JRYzXJPxIdRd8g,beIN SPORTS USA,2012-07-16T20:11:38Z,10038,291943570,801000
UCs-gmT5tSkb5-c_BXmCJ2Pw,A to Z Sports Dallas,2020-01-09T20:48:08.499159Z,1804,5919503,25200
UCPckg9pijh0KjJm4X0Xhviw,News24 Sports,2019-04-01T10:10:50Z,24752,2039718299,3290000
UC7wPqUbu5QtLKNqKnk9Ja2w,Locked On Sports Atlanta,2022-03-16T13:25:38.134411Z,2775,2527452,10800
UCQ8cM7o5Gu9l9G3fDP5Xpsg,Matchroom Multi Sport,2014-09-30T11:01:57Z,879,79182794,193000
UCFwF2ggZy7J-HE0Bc-LCKhQ,Montana Sports,2016-02-12T22:23:49Z,15692,5473049,5890
UCI6xsaYFLb2d9T9z4m6fCDw,Dibrou Sports Brasil,2020-01-14T03:09:09.863388Z,7040,163658227,579000
UCixBcYsH2sk8YFUJ3S-6_Bg,440 Sports,2020-06-24T14:46:55.904464Z,801,230075,1780
UCuOwl-VgqBHOzR8hWnonBcA,Sky Sport DE,2009-02-19T13:59:14Z,7288,736543778,1610000
UC3kxJQ9RfaS5CKeYbbFMi4Q,Sky Sports F1,2018-07-17T16:38:09Z,3260,319583598,732000
UCuGyKVhuCa_iattvhM4DlQQ,Sports Injury Physio,2014-06-28T09:00:45Z,261,14016432,150000
UCX2eNtU1ZG3x4OpdP2UIlJA,Prasar Bharati Sports,2014-11-18T09:38:39Z,6041,119898053,945000
UCIBNkFKpmUx0R4gDv6wqi-g,Sky Sports Darts,2021-11-17T14:04:58.676733Z,806,79304514,82900
UCiF5HFwipoXlNahMHMEII_g,The Sports Fury,2016-10-07T14:15:33Z,2174,77334885,245000
UC9LrQByjJFCGqUgvylTiVLQ,Jackson Krueger Sports,2017-04-12T07:02:14Z,4989,57178297,142000
UCLbe62TJjEM1a7gnvTIsxkw,The Action Network: Sports Betting Picks & Tips,2018-01-24T20:40:33Z,10801,12260723,52600
UCKhrVpHn0ghqn4WUANk5RvQ,Dolphins Today by Chat Sports,2020-05-30T12:33:11.62361Z,1389,14030398,55600
UC22Sr8bNYjAKqxLr-snMGnA,SG Sports TV,2010-04-30T06:43:20Z,4900,291903899,565000
UC3GSRnuKIZc1IFJSJiEYhdw,A to Z Sports Nashville,2016-01-25T17:09:30Z,5349,10255893,16900
UCef_O_ttXxlLP7dlk0-snlQ,World Sports,2016-05-06T16:07:35Z,4437,151756163,561000
UCoyaxd5LQSuP4ChkxK0pnZQ,EA SPORTS FC,2009-07-26T17:48:32Z,821,899232758,5100000
UCZDi95PJ6VmWtQAScA9Rh-w,DR Sports,2016-04-08T11:07:22Z,3397,175554388,351000
UCvx58rrfVhm3s_uktJOP0-g,SPORTS GAME MAXIMO,2017-09-02T11:58:56Z,4135,6048376,26000
UCm3-NocWw8YDQ6lfOb78ehA,UCLA Athletics,2013-08-19T20:47:11Z,6519,322112417,398000
UCRlq9UVLDa3jNRX14-XdT3A,Baseball Sports,2016-11-16T05:27:12Z,104,219881878,287000
UC5lMsDXNh9jbafkCOnoGfZA,The Athletic FC Podcast,2019-05-20T11:29:28Z,687,22681360,212000
UCk9zL0UlZ28uS7tlcguSLQg,Sports Card Investor,2019-05-15T01:20:01Z,1014,77256110,306000
UC59rc_knTtHbf5315NrYbVw,Forever Sports,2020-05-14T14:25:49.015256Z,3670,23626664,66300
UCOKEYIW6jRMpa8ex1xKJXEw,Baddog Sports,2014-10-09T14:12:08Z,2282,44829741,133000
UCm7aNg87CtuXIcqaVnajQcA,Chiefs Report by Chat Sports,2019-10-23T21:56:54.727366Z,1529,13956058,53200
UC86X0tzvfk12eAG9JYMp99w,EA SPORTS UFC,2017-04-18T22:18:35Z,59,10507439,79100
UCZFhj_r-MjoPCFVUo3E1ZRg,Whistle,2006-09-12T01:34:37Z,2849,1251351151,3100000
UCLo2xigvxv9ksxp78AyCBTw,القنوات الرياضية السعودية Official Saudi Sports TV,2011-04-01T18:49:29Z,22971,605812282,1750000
UCShQUnLofj5O3NokkdqnaGw,Audacy Sports,2019-08-01T12:03:43Z,3614,634778,5540
UC6IECRla3M96wzXqAv5azTg,G's Sports Central,2021-10-23T15:14:48.392451Z,209,10717632,32900
UCEXtuOW2PXheCM4RDKOEvUQ,LI Sports Network,2013-08-01T06:17:14Z,2241,1274260,6890
UCeksvr96LM7TMMdK3-vp9rQ,JAKIB Sports,2018-09-18T16:54:32Z,11473,31099531,46800
UCmd_TG_wO5FVWXsJvnWweMg,Zaleski Sports,2017-01-05T22:49:09Z,3172,2686094,11400
UC4jYX98dEhWxCl9x-21PL7w,Sports Club,2019-05-21T06:58:58Z,227,6380288,57500
UC9KX642L4_biZQ5rjlGoPow,Lions Talk by Chat Sports,2019-03-19T10:33:08Z,1587,12019452,65900
UCDjE0DwyYik5PHhxDvNYEdg,Remember Sports,2019-10-31T23:08:41.363783Z,9,833903,2360
UCcAKLXuMBv31m_dyMp6CQxA,Hoggard Sports,2020-10-21T15:45:27.480695Z,190,91011,3080
UCisgkf7-vE5k5sVhfSiUEow,NEXT SPORTS,2013-04-18T08:53:14Z,12044,988342639,2260000
UC3vWnIasv0wssZz2BHc3UYQ,Vietnam Sports News,2022-06-18T06:53:40.075819Z,315,18622813,48000
UC_r23ILOYKMgrwF5--zO3oQ,GP Sports Cards,2020-07-26T18:36:50.00466Z,408,2390116,15900
UCvsPgR_Dfe8tXWzSVteasqw,BTB SPORTS OFICIAL,2023-04-28T21:45:50.95192Z,1118,16452039,118000
UC4iJRId3Dcp18uTIRpYSAzQ,EA SPORTS FC ONLINE THAILAND,2013-06-05T04:33:28Z,1306,49141518,256000
UCifWD4FBa4eaKK7HLF0PlTA,Barstool Sports,2013-05-17T16:10:02Z,7789,1023206846,1730000
UCFA6YGp5lvgayO20lk7_Ung,EA SPORTS FC Pro,2017-03-23T02:40:31Z,717,52877768,574000
UCrbgxEwz6pkYukOPZSIlD2g,AYS Sports,2017-11-21T00:59:29Z,1402,1755744,7180
UC_WKb6N9iTGc77hxwXLDrbA,Sony Sports Network,2012-03-31T09:16:35Z,4326,494451513,4680000
UCzXkqrWMWa29miU2QqN6Odg,Helen Yee Sports,2014-12-05T03:39:15Z,1406,57237144,172000
UCdw-iIAVcWHdhVwWea3OjVQ,Sports Direct,2022-06-22T08:46:18.672116Z,108,11172776,21200
UC1k-fvQOa6jgBsA6A3FGaZg,動滋Sports,2021-08-26T07:07:24.864382Z,1005,1937572,9260
UCNvMRTGKc_FG4RpfjRfh40Q,Ultimate Cleveland Sports Show,2022-03-29T14:19:56.651874Z,4462,18638213,38100
UCTU_wC79Dgi9rh4e9-baTqA,Sky Sports,2015-09-15T12:42:36Z,2327,69966596,455000
UCnDY7XxQmmKMJYUU6m2KYew,49ers Report by Chat Sports,2019-07-08T01:31:04Z,2256,36300055,131000
UCZbNi5DqBvaOZygMl8HfjDQ,Sports Today,2020-09-19T12:03:47.043053Z,13336,129998649,263000
UCgbtED-BzFX9LAktgMSaP8g,Table Rock Sports,2015-04-17T03:44:07Z,1932,664472,3290
UC5-aueB1RqpUc-EeAjtx9Lw,Flow Sport Club,2021-08-30T16:27:00.774668Z,961,79167648,919000
UCwN-ktbFVsbcbhvAthIwABQ,Game On Sports,2016-10-04T21:12:42Z,1224,618128,3720
UCS942XKQj8fdEBFmRefDCZg,KMA Sports,2020-11-13T20:00:25.858477Z,3073,275004,1630
UC0aiMoEKnP7vqEUyCH5OwcA,X Sports Network,2022-07-11T22:55:12.731129Z,1782,527360,2680
UCDfnam79n2tXXumz9i7jnIA,SCOTT Sports,2008-08-11T11:57:11Z,1011,43031223,171000
UC7uW12e8iBbt6mE_uaKVc6g,Supreme Sports,2023-02-20T19:12:02.586795Z,57,905803,10000
UC2MGuhIaOP6YLpUx106kTQw,International Federation of Sport Climbing,2009-12-25T11:37:53Z,1472,79915219,308000
UCcQkLDEfUn50ZO_wfkTyJZg,TOTAL SPORTS,2017-01-17T06:30:54Z,1885,16154505,69300
UCHxYDy5uZ3tCaM3fn2Y3U-g,Iqbal Sports,2022-10-15T12:13:48.267438Z,870,120400388,423000
UCDyAwFEdn0SJFKcVjmAfptA,Clutch Sports Media,2020-01-28T02:04:08.413929Z,295,805023,6540
UCZTkDIurWDElInXA0Q8VCrw,Vmax Sports,2021-06-25T10:17:32.040023Z,4034,51680391,90400
UCUDf7h4hV1g6Qrvjt4NdrNw,Oaktree Sports,2017-01-14T12:10:04Z,432,495599141,2060000
UCEqYcU4IEXvfWt0vtGA_Cww,Winnipeg Sports Talk,2021-02-17T19:21:02.392402Z,1103,3019519,11100
UCV5HXUHFR-yuSb7qDJ5_80g,Wide World of Sports,2017-11-17T02:13:44Z,5869,143743199,164000
UCHVTQQj5AKPIl8yNsahGNhA,Best Cable Sports Canal 6 - Oficial,2021-08-15T15:03:27.089212Z,2121,3711387,14800
UCgZft_ODSHTxW5YEPiI4xqQ,Sports & Entertainment,2016-02-13T16:46:52Z,2241,163133692,486000
UC-W2TmgeL6tEzvtvUU7cptg,CHGO Sports ,2015-06-17T21:51:51Z,5330,17503451,50300
UCVtKwsr4jcU8QZ2ucjZhGaA,Sports AAB,2022-03-27T12:45:28.642471Z,797,11748183,73300
UCaOvfE-4N9pm_36a2NYB8yw,Sky Sport Next,2019-10-31T22:42:16.400086Z,1971,8380168,41200
UCrGfdyiKjLQXk1vB5xkNv1Q,NBC Sports Bay Area & California,2013-12-06T18:18:18Z,6223,57577738,105000
UCeADv4IDX1SbUdZHpB35ooA,Browns Report by Chat Sports,2020-05-29T18:18:56.815626Z,1186,9179576,33500
UC0nyJ7BdKpnHQG1Xog3guXw,7070Sports.,2017-01-07T04:44:19Z,6037,195408577,657000
UCGcUIG8XrOF0XavvDVKI6tw,Giants Now by Chat Sports,2020-05-31T20:13:49.439539Z,1145,10150643,43200
UCVVufJg-CFctKL1-xpOt16w,BFBS Sports Show,2017-10-17T10:40:16Z,834,1220250,4970
UCvRkl4sHIgChIFxeTlbwAGQ,SL SPORTS,2011-10-07T03:28:04Z,2175,29615302,135000
UCl4w1C8seVdfhmvEGyJFrrQ,Roo Sports,2023-06-26T08:02:57.830582Z,44,63462,3230
UCNa_Zs9B97RwSH79EAthNpw,UAM Sports,2022-02-16T15:28:44.251303Z,261,272015,2220
UCNh-AvuiW0Z0t29vBfKe9tQ,Outdoor sports in srilanka,2015-01-02T11:06:39Z,60,1091947,14000
UC7jWDIp5wCn8UGpEkcUGq2w,Sport Thailand,2022-06-02T17:25:27.38675Z,92,16302724,87900
UCwNqHDsnBCKT-olwJwIFyfg,FOX Sports,2006-06-05T15:03:01Z,5049,587520296,1110000
UC8aOXvlqQqMlTFvbbAarD-A,DNVR Sports,2015-07-31T01:16:48Z,10077,39357109,71800
UCsO5qcpqeJ-kNms404eKXPw,PPTV SPORTS,2023-07-31T06:41:17.832737Z,1520,11096031,84800
UCauRUy2_6-l2-zxbGXiaKfQ,SPORTS ADS,2022-12-17T07:26:40.77511Z,390,776181,3320
UCFw1qLNT4tw321EyssMXC8w,Echoboom Sports,2013-05-29T19:14:20Z,1120,47705348,207000
UCRz7SRXbiTbNvN2Us0JvbdA,Virginia Sports TV,2014-08-28T22:30:38Z,8799,14962295,17000
UCVBRVivYTsAzvCWgniGc-sQ,Sports With Harshana,2023-12-28T03:42:03.084605Z,17,9223,391
UCZCbII4-VtdNwTRMxo611Bg,OneNimit Sports Tamil ,2023-04-23T15:50:22.190649Z,478,2760646,14700
UCRz7SRXbiTbNvN2Us0JvbdA,Virginia Sports TV,2014-08-28T22:30:38Z,8799,14962295,17000
UCVBRVivYTsAzvCWgniGc-sQ,Sports With Harshana,2023-12-28T03:42:03.084605Z,17,9223,391
UCXenWaHGZz4Ey4BObUUIyZQ,NBC Sports Philadelphia,2016-07-20T16:38:55Z,5797,82109414,108000
UCKTDCaYUdR2Wpv9_3a2DlMw,CBS Sports Radio,2015-07-13T15:54:28Z,6542,4512060,12000
UCeYHoKtMnuwtwPDAR5GOJZw,DAN Sports,2022-11-28T13:50:05.139079Z,15,7346,108
UCeH2ouVi9rAqGp7Drrp_q2Q,ADT SPORTS,2017-06-15T14:14:52Z,565,14243848,47300
UCqZQlzSHbVJrwrn5XvzrzcA,NBC Sports,2012-02-07T14:52:11Z,28484,3193685742,3690000
UCQqi1tif5ms9d99IKreR3-A,SaddleRock Sports Network,2022-07-10T22:51:17.174294Z,338,111091,1090
UCE-tvTfPNBcDqCpGscGRmwg,Quang Tùng Sports,2020-06-08T01:42:44.939607Z,920,23413479,54500
UC2zTXqHLEz56OG0EvS9SiFA,Raiders Report by Chat Sports,2018-02-13T20:42:38Z,3074,62702740,165000
